Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing
The Birth of a Nation,"Mar 3, 1915",G,3.2/5,192 minutes,D.W. Griffith,"Classics,Drama",
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)","Mar 4, 1922",NR,4/5,63 minutes,F.W. Murnau,"Art House & International,Classics,Horror,Science Fiction & Fantasy",
Sunrise: A Song of Two Humans,"Sep 23, 1927",NR,4.4/5,110 minutes,F.W. Murnau,"Classics,Drama,Mystery & Suspense,Romance",
The Gold Rush,"Jun 26, 1925",G,4.2/5,85 minutes,Charles Chaplin,"Classics,Comedy",
Wings,"Aug 12, 1927",PG-13,3.8/5,144 minutes,William Wellman,"Action & Adventure,Classics",
The Passion of Joan of Arc (La Passion de Jeanne d'Arc),"Apr 21, 1928",NR,4.4/5,114 minutes,Carl Theodor Dreyer,"Art House & International,Classics,Drama",
Phantom Of The Opera,"Nov 15, 1925",NR,3.8/5,79 minutes,"Lon Chaney Jr,Rupert Julian,Edward Sedgwick","Classics,Drama,Horror",
Battleship Potemkin,"Dec 24, 1925",NR,4/5,65 minutes,Sergei M. Eisenstein,"Art House & International,Classics,Drama","$50,970"
City Lights,"Mar 7, 1931",G,4.4/5,90 minutes,Charles Chaplin,"Classics,Comedy,Drama,Romance",
The Bride of Frankenstein,,,3.8/5,,,,
M,"Aug 31, 1931",NR,4.4/5,105 minutes,Fritz Lang,"Art House & International,Drama,Mystery & Suspense","$17,599"
Bringing Up Baby,"Feb 18, 1938",NR,4/5,102 minutes,Howard Hawks,"Classics,Comedy,Romance",
Modern Times,"Feb 25, 1936",G,4.3/5,87 minutes,Charles Chaplin,"Classics,Comedy",
The General,"Feb 5, 1927",NR,4.3/5,79 minutes,"Buster Keaton,Clyde Bruckman","Comedy,Drama,Romance",
Duck Soup,"Nov 17, 1933",NR,4.1/5,69 minutes,Leo McCarey,"Classics,Comedy",
La Grande illusion (Grand Illusion),"Sep 12, 1938",NR,4.3/5,113 minutes,Jean Renoir,"Art House & International,Classics,Drama","$172,885"
Frankenstein,"Nov 21, 1931",NR,3.8/5,70 minutes,James Whale,"Classics,Horror,Science Fiction & Fantasy,Special Interest",
King Kong,"Jan 1, 1933",G,3.7/5,103 minutes,"Ernest B. Schoedsack,Merian C. Cooper","Action & Adventure,Classics,Horror",
The Wizard of Oz,"Aug 25, 1939",G,3.7/5,101 minutes,"King Vidor,Victor Fleming","Classics,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy","$3,840,702"
