A_id,B_id
1001,814
1001,293
1001,843
1001,9
1001,748
1001,1563
1001,719
1001,1319
1001,1707
1001,722
1001,1204
1001,468
1001,661
1001,1059
1001,929
1001,679
1001,762
1001,729
1001,572
1001,953
1001,156
1001,1273
1001,706
1001,1863
1001,698
1001,388
1001,2133
1001,2159
1001,2096
1001,2981
1001,2121
1001,2151
1001,2095
1001,2102
1001,2631
1001,2162
1001,2592
1001,2166
1001,2112
1001,2128
1001,2109
1001,3013
1001,2175
1001,3059
1001,2108
1001,3012
1001,2091
1001,2140
1001,2665
1001,2173
1001,2152
1001,2649
1001,2114
1001,2110
1001,2158
1001,2107
1001,2145
1001,2932
1001,2690
1004,2140
1004,2102
1004,3044
1004,2932
1004,2164
1004,2093
1004,2129
1004,2741
1004,3013
1004,2592
1004,2125
1004,2092
1004,388
1004,572
1004,706
1004,293
1004,9
1004,1863
1004,843
1004,698
1004,1563
1004,1316
1004,661
1007,814
1007,1863
1007,843
1007,468
1007,748
1007,929
1007,156
1007,572
1007,388
1007,953
1007,661
1007,1563
1007,325
1007,729
1007,679
1007,1771
1007,1059
1007,762
1007,722
1007,719
1007,9
1007,293
1007,706
1007,1204
1007,1707
1007,1212
1007,698
1007,1273
1007,1275
1007,2109
1007,2151
1007,3012
1007,2145
1007,2981
1007,2095
1007,3013
1007,2091
1007,2140
1007,2173
1007,2152
1007,2932
1007,2133
1007,2096
1007,2175
1007,2631
1007,2128
1007,2166
1007,2102
1007,2121
1007,2690
1007,2107
1007,2158
1007,2114
1007,2665
1007,2108
1007,3059
1007,2112
1007,2592
1007,2090
1007,2649
1007,2162
1007,2110
1007,2159
101,1316
101,1164
101,694
101,748
101,1771
101,171
101,666
101,1212
101,2115
101,2163
101,2690
101,2236
1010,2932
1010,2649
1010,2107
1010,2166
1010,2158
1010,2114
1010,2145
1010,2162
1010,2152
1010,2665
1010,2159
1010,2173
1010,2091
1010,3012
1010,2108
1010,3013
1010,2110
1010,2112
1010,2128
1010,2631
1010,2140
1010,2095
1010,2102
1010,2202
1010,2175
1010,2151
1010,2121
1010,2592
1010,2096
1010,2090
1010,2109
1010,2981
1010,2133
1010,3059
1010,698
1010,661
1010,1563
1010,843
1010,1863
1010,729
1010,679
1010,762
1010,1273
1010,1059
1010,953
1010,722
1010,9
1010,814
1010,293
1010,706
1010,1204
1010,929
1010,156
1010,748
1010,388
1010,572
1013,388
1013,929
1013,1563
1013,762
1013,843
1013,156
1013,1212
1013,1204
1013,1863
1013,76
1013,729
1013,706
1013,748
1013,1319
1013,572
1013,1059
1013,293
1013,698
1013,814
1013,9
1013,679
1013,722
1013,661
1013,1771
1013,953
1013,1273
1013,2175
1013,2631
1013,2109
1013,2159
1013,2110
1013,2162
1013,2649
1013,2592
1013,2112
1013,3059
1013,2108
1013,2665
1013,2163
1013,2114
1013,2158
1013,2107
1013,2117
1013,2121
1013,2102
1013,2166
1013,2128
1013,2096
1013,2236
1013,2133
1013,2932
1013,2136
1013,2152
1013,2173
1013,2091
1013,3013
1013,2140
1013,2095
1013,2202
1013,2981
1013,2145
1013,3012
1013,2151
1016,347
1016,1319
1019,2125
1019,2932
1019,2092
1019,2741
1019,2592
1019,3013
1019,3044
1019,2140
1019,2102
1019,2164
1019,2093
1019,698
1019,843
1019,706
1019,388
1019,1212
1019,1771
1019,9
1019,729
1019,1563
1019,1316
1019,661
1019,1863
1019,572
1019,293
1025,2159
1025,2128
1025,2102
1025,2631
1025,2121
1025,2096
1025,2133
1025,2932
1025,2107
1025,2158
1025,2152
1025,2173
1025,2109
1025,2114
1025,2091
1025,2665
1025,3013
1025,2166
1025,2140
1025,2108
1025,2095
1025,3059
1025,2112
1025,2592
1025,2981
1025,2145
1025,2649
1025,2162
1025,2997
1025,2175
1025,3012
1025,2151
1025,2110
1025,561
1025,1212
1025,1059
1025,661
1025,814
1025,748
1025,929
1025,1204
1025,388
1025,679
1025,9
1025,1563
1025,762
1025,1771
1025,293
1025,843
1025,1273
1025,156
1025,706
1025,1863
1025,698
1025,953
1025,729
1025,572
1025,722
1028,1771
1028,1212
1031,156
1031,1563
1031,572
1031,1319
1031,706
1031,748
1031,1316
1031,343
1031,929
1031,293
1031,953
1031,388
1031,729
1031,1863
1031,1273
1031,679
1031,814
1031,698
1031,661
1031,1059
1031,1275
1031,843
1031,762
1031,1204
1031,9
1031,722
1031,2166
1031,2159
1031,2110
1031,2151
1031,3012
1031,2092
1031,2162
1031,2093
1031,2649
1031,2145
1031,2175
1031,2981
1031,2592
1031,2112
1031,3059
1031,2095
1031,2108
1031,2140
1031,3013
1031,2665
1031,2091
1031,2114
1031,2173
1031,2152
1031,2109
1031,2158
1031,2107
1031,2932
1031,2164
1031,2133
1031,3044
1031,2631
1031,2096
1031,2121
1031,2741
1031,2102
1031,2125
1031,2128
1034,1771
1034,341
1037,814
1037,748
1037,1059
1037,722
1037,679
1037,1273
1037,9
1037,661
1037,388
1037,1863
1037,293
1037,1771
1037,706
1037,729
1037,350
1037,1204
1037,953
1037,698
1037,572
1037,929
1037,156
1037,1563
1037,762
1037,1316
1037,843
1037,2128
1037,2166
1037,2133
1037,2136
1037,2164
1037,2107
1037,2162
1037,2592
1037,2151
1037,2649
1037,2932
1037,2092
1037,2117
1037,2140
1037,2108
1037,2981
1037,2159
1037,2145
1037,2175
1037,2110
1037,2125
1037,2112
1037,2093
1037,2121
1037,2091
1037,2114
1037,2202
1037,3012
1037,2102
1037,3059
1037,2096
1037,2173
1037,3013
1037,2090
1037,2109
1037,2741
1037,2095
1037,2236
1037,2152
1037,2631
1037,2665
1037,3044
1037,2158
104,1319
104,1771
104,2096
104,2640
1040,2151
1040,2108
1040,2095
1040,2162
1040,2981
1040,2159
1040,2175
1040,2145
1040,2121
1040,2128
1040,2202
1040,2096
1040,2166
1040,2110
1040,2631
1040,2133
1040,2649
1040,2592
1040,2932
1040,2107
1040,2158
1040,2152
1040,3059
1040,2173
1040,2109
1040,3012
1040,2114
1040,2163
1040,3013
1040,2102
1040,2112
1040,2665
1040,2091
1040,2140
1040,929
1040,679
1040,1212
1040,698
1040,722
1040,561
1040,729
1040,748
1040,706
1040,156
1040,1771
1040,293
1040,843
1040,1563
1040,814
1040,762
1040,1319
1040,572
1040,1273
1040,388
1040,1863
1040,1204
1040,953
1040,661
1040,9
1040,975
1040,1059
1043,762
1043,156
1043,661
1043,1563
1043,679
1043,1275
1043,1273
1043,698
1043,1212
1043,1204
1043,706
1043,293
1043,9
1043,722
1043,1059
1043,1771
1043,729
1043,953
1043,572
1043,388
1043,929
1043,748
1043,843
1043,1863
1043,814
1043,2133
1043,2110
1043,2631
1043,2091
1043,2158
1043,2166
1043,2152
1043,2112
1043,2128
1043,2173
1043,2096
1043,3012
1043,2108
1043,2202
1043,2145
1043,2114
1043,2102
1043,2109
1043,2121
1043,2981
1043,3013
1043,2665
1043,2162
1043,2140
1043,2175
1043,2095
1043,2932
1043,2592
1043,2151
1043,2159
1043,2107
1043,2115
1043,3059
1043,2649
1046,1275
1049,1771
1049,1212
1049,2153
1052,1212
1052,1771
1055,3059
1055,2649
1055,2140
1055,2110
1055,2175
1055,2592
1055,2166
1055,2158
1055,2109
1055,2095
1055,2152
1055,3013
1055,2108
1055,2128
1055,2107
1055,2121
1055,2112
1055,2091
1055,2173
1055,2981
1055,3012
1055,2665
1055,2159
1055,2162
1055,2114
1055,2932
1055,2096
1055,2631
1055,2151
1055,2102
1055,2133
1055,2145
1055,698
1055,1863
1055,388
1055,1059
1055,929
1055,706
1055,156
1055,722
1055,843
1055,679
1055,953
1055,814
1055,9
1055,1273
1055,729
1055,748
1055,293
1055,1563
1055,661
1055,1204
1055,1771
1055,572
1055,1212
1055,348
1055,762
1058,1771
1058,354
1058,1212
1061,1771
1061,1204
1061,1563
1061,293
1061,843
1061,1583
1061,1081
1061,729
1061,814
1061,679
1061,388
1061,1212
1061,762
1061,1863
1061,722
1061,156
1061,698
1061,929
1061,1059
1061,953
1061,572
1061,661
1061,737
1061,706
1061,748
1061,9
1061,1273
1061,1275
1061,2981
1061,2649
1061,2145
1061,2159
1061,2121
1061,2096
1061,2166
1061,2110
1061,2133
1061,2151
1061,2128
1061,2932
1061,2107
1061,2152
1061,2631
1061,2173
1061,3012
1061,2114
1061,3013
1061,2665
1061,2175
1061,2091
1061,2140
1061,2108
1061,2095
1061,2112
1061,2162
1061,3059
1061,2090
1061,2592
1061,2109
1061,2202
1061,2102
1061,2158
1064,2114
1064,2115
1064,2690
1064,2128
1064,1316
107,2184
107,1319
107,1771
107,1212
1070,1212
1070,1771
1070,2163
1070,2236
1073,2117
1073,2090
1073,2236
1073,2136
1079,679
1079,1563
1079,661
1079,698
1079,929
1079,843
1079,762
1079,953
1079,572
1079,748
1079,729
1079,1059
1079,1863
1079,468
1079,388
1079,814
1079,293
1079,706
1079,1204
1079,9
1079,722
1079,156
1079,1273
1079,3059
1079,2631
1079,2592
1079,2649
1079,2107
1079,2162
1079,2128
1079,2112
1079,3012
1079,2173
1079,2114
1079,2932
1079,2121
1079,2145
1079,2108
1079,2095
1079,3013
1079,2175
1079,2159
1079,2102
1079,2109
1079,2158
1079,2110
1079,2176
1079,2665
1079,2091
1079,2133
1079,2151
1079,2166
1079,2096
1079,2140
1079,2152
1079,2981
1082,340
1085,1212
1085,1771
1091,1212
1091,338
1091,1771
1094,814
1094,1319
1094,729
1094,748
1094,1273
1094,953
1094,661
1094,1204
1094,293
1094,1863
1094,843
1094,722
1094,156
1094,762
1094,698
1094,929
1094,388
1094,572
1094,9
1094,1059
1094,679
1094,706
1094,1563
1094,2109
1094,2108
1094,2096
1094,2133
1094,3013
1094,2145
1094,2981
1094,2175
1094,2159
1094,2107
1094,2649
1094,2166
1094,2631
1094,2152
1094,2091
1094,2102
1094,2128
1094,2114
1094,2112
1094,3012
1094,3059
1094,2151
1094,2173
1094,2162
1094,2121
1094,2932
1094,2095
1094,2665
1094,2140
1094,2592
1094,2110
1094,2158
1097,1212
1097,2236
11,2946
11,1275
110,726
110,2138
1100,1771
1100,1212
1100,727
1100,287
1100,2156
1100,2617
1100,2172
1103,2163
1103,2090
1103,2236
1103,2136
1103,2117
1103,1212
1106,1273
1106,572
1106,762
1106,698
1106,1563
1106,156
1106,729
1106,1863
1106,1059
1106,706
1106,843
1106,388
1106,929
1106,953
1106,9
1106,661
1106,722
1106,293
1106,679
1106,1204
1106,814
1106,748
1106,2649
1106,2107
1106,2108
1106,2932
1106,2175
1106,2121
1106,2128
1106,2173
1106,2592
1106,2159
1106,2158
