id1,id2,matching_probability
1,1726,1.0
10,2952,1.0
100,608,1.0
1002,314,1.0
1003,319,1.0
1005,320,1.0
1006,327,1.0
1007,325,0.9
1008,317,1.0
101,694,1.0
1015,167,1.0
1016,347,1.0
102,733,1.0
103,695,1.0
1031,343,0.9
1034,341,1.0
1035,344,1.0
105,2635,1.0
1050,351,1.0
1051,176,1.0
1053,310,1.0
1055,348,1.0
1056,352,1.0
1058,354,1.0
1062,356,1.0
1063,353,1.0
1065,168,1.0
108,2628,1.0
1081,335,0.8
1082,340,1.0
1086,339,1.0
1090,334,1.0
1091,338,0.6
11,2946,1.0
110,726,1.0
1100,287,1.0
1108,290,0.9
1113,292,1.0
1114,295,1.0
1116,291,1.0
1117,307,0.9
1118,289,0.9
1119,286,1.0
1120,296,1.0
1121,294,1.0
114,713,1.0
1142,169,1.0
1143,173,1.0
1144,170,1.0
1146,172,1.0
1147,190,1.0
1150,312,1.0
1151,311,1.0
1159,306,0.7
1164,302,1.0
1171,293,1.0
1172,299,1.0
1176,303,1.0
1177,297,1.0
1178,308,1.0
1179,300,1.0
1181,298,1.0
12,2998,1.0
1202,258,0.9
1204,181,1.0
1205,257,0.9
1208,262,1.0
1209,259,1.0
121,2646,1.0
1210,278,1.0
122,2699,0.9
1221,301,1.0
1228,321,1.0
123,2660,1.0
1232,304,1.0
1233,313,1.0
1235,305,1.0
1237,315,1.0
1239,309,1.0
1241,316,1.0
1247,238,0.9
1249,234,1.0
125,2610,1.0
1250,235,1.0
1256,244,1.0
1257,233,1.0
1259,239,1.0
1262,236,1.0
1263,237,0.866666666667
1267,240,1.0
1269,242,0.8
127,2600,1.0
1270,277,0.9
1279,274,1.0
128,2890,1.0
1281,276,1.0
1282,282,1.0
1287,271,1.0
1288,269,1.0
1289,243,1.0
129,2580,1.0
1291,184,1.0
1292,272,1.0
1293,268,1.0
1294,285,1.0
1295,281,1.0
1296,280,1.0
1297,283,1.0
1299,275,1.0
13,2851,1.0
130,2700,1.0
1307,219,0.8
131,2637,1.0
1312,209,1.0
1313,188,1.0
1314,182,1.0
1316,211,1.0
1317,183,0.9
132,2614,1.0
1321,185,1.0
1322,225,0.8
1323,216,1.0
1324,218,1.0
1325,210,1.0
1326,187,1.0
1328,220,0.666666666667
133,2685,1.0
134,2633,1.0
1345,179,1.0
1346,178,1.0
1348,189,1.0
1352,175,1.0
1353,264,1.0
1354,250,1.0
1355,174,1.0
1356,263,1.0
1357,284,1.0
136,3008,1.0
1361,213,0.9
1364,246,1.0
1365,256,1.0
1366,255,1.0
1368,251,1.0
1369,253,1.0
1370,245,0.9
1373,279,1.0
1374,254,0.8
1375,247,1.0
1376,266,1.0
1378,249,1.0
1379,252,1.0
1380,248,0.9
1383,273,1.0
1394,223,0.9
1395,260,1.0
1399,215,1.0
1400,222,1.0
1401,226,1.0
1402,217,1.0
1405,232,1.0
1406,227,1.0
1407,229,1.0
1408,231,1.0
1409,221,1.0
141,3047,1.0
1412,224,0.9
1413,180,1.0
1414,202,0.9
1416,191,1.0
142,2978,1.0
1422,198,1.0
1423,193,1.0
1424,214,1.0
1427,207,1.0
1429,196,0.9
1430,203,0.9
1431,199,1.0
1432,204,1.0
1435,197,1.0
1436,194,1.0
1437,200,1.0
1438,205,0.8
1439,208,0.9
1441,195,1.0
1443,201,1.0
1444,1290,1.0
1448,1302,1.0
145,3029,1.0
1452,1292,0.9
1456,1285,1.0
146,3035,1.0
1460,1289,1.0
1463,1291,1.0
1464,1299,1.0
1467,206,1.0
1468,1284,1.0
1469,1293,1.0
1470,1297,1.0
1471,1288,1.0
1473,1309,1.0
1475,1331,1.0
1479,1312,1.0
1481,1303,1.0
1483,1310,1.0
1485,1298,1.0
1489,1305,1.0
149,3002,1.0
1490,1308,1.0
1491,1296,1.0
1492,1315,1.0
1493,1301,1.0
1494,1304,1.0
1495,1295,1.0
1496,1311,1.0
1498,1323,1.0
1500,342,1.0
1508,112,1.0
1511,109,1.0
1512,151,1.0
152,2999,1.0
153,3053,1.0
1537,144,1.0
1538,163,0.9
1544,147,0.7
1546,145,1.0
155,3061,1.0
1567,79,0.9
1568,150,0.9
1569,78,0.9
157,1374,1.0
1571,153,0.9
1573,149,1.0
1576,160,1.0
158,3022,1.0
159,3042,1.0
1595,141,1.0
1597,138,1.0
160,3063,0.9
1600,148,1.0
1601,85,0.966666666667
1602,135,0.8
1603,155,0.8
161,2765,1.0
162,3068,1.0
163,3056,1.0
1633,164,1.0
164,2670,1.0
1648,82,1.0
1651,87,1.0
1653,122,0.933333333333
1655,146,1.0
1656,137,1.0
1657,94,1.0
1658,93,0.9
1659,99,1.0
1660,139,1.0
167,2738,1.0
1682,125,0.8
1683,140,1.0
1685,131,1.0
1687,129,0.9
1688,130,1.0
1689,84,1.0
169,2731,1.0
17,891,1.0
1710,124,0.8
1715,83,0.9
1716,127,0.9
1717,121,1.0
1718,123,0.9
1719,136,1.0
172,2755,1.0
1720,128,0.9
1741,117,1.0
1745,126,0.9
1746,322,0.9
1748,114,1.0
175,2717,1.0
1750,115,1.0
1751,118,1.0
1766,120,1.0
1769,132,1.0
177,2747,1.0
1771,96,0.9
1777,98,0.9
1778,133,1.0
178,2681,1.0
1780,134,0.7
1783,116,1.0
179,2696,1.0
1798,86,1.0
180,2745,1.0
1800,111,0.9
1802,113,1.0
1806,92,1.0
181,2674,1.0
1814,104,0.8
1817,91,1.0
182,2764,1.0
1823,108,1.0
1827,110,1.0
183,2726,1.0
1833,106,0.9
1834,101,1.0
1837,103,0.9
185,1376,1.0
1851,355,0.9
1852,324,1.0
1856,107,0.9
1857,333,1.0
1858,102,1.0
1859,97,1.0
186,2686,1.0
1862,100,1.0
1864,95,1.0
187,2773,1.0
1874,326,1.0
1876,329,1.0
1879,330,1.0
1886,331,1.0
1887,332,1.0
1888,337,0.9
1889,345,0.9
1899,75,1.0
190,2893,1.0
1907,39,1.0
191,2769,1.0
192,2895,1.0
193,2939,0.9
194,1551,1.0
195,2954,1.0
1957,32,1.0
196,2771,1.0
1961,31,0.9
1962,34,1.0
1963,35,0.9
1966,33,1.0
1969,50,1.0
198,2930,1.0
1987,41,1.0
1995,2113,1.0
1995,42,1.0
1998,52,0.9
2,2268,1.0
2017,22,0.9
2018,19,0.9
202,2088,1.0
202,2922,1.0
2022,18,1.0
2050,36,0.766666666667
2052,44,1.0
206,2949,0.9
2074,37,0.9
2078,492,1.0
2080,74,1.0
209,2887,1.0
210,2948,1.0
2106,76,1.0
2107,69,1.0
2109,71,1.0
211,2943,1.0
212,2889,0.9
2129,62,1.0
2134,47,0.8
2135,56,0.7
2138,45,1.0
214,2961,1.0
215,2928,1.0
216,2901,0.8
2167,61,0.8
217,2923,1.0
218,1503,1.0
219,2891,1.0
2192,48,1.0
2194,49,0.9
2196,40,1.0
2197,58,0.8
2222,43,1.0
2226,38,1.0
223,1515,1.0
2253,63,0.9
2254,53,1.0
2255,51,0.9
2277,54,0.9
2280,68,1.0
2281,60,0.9
2283,55,1.0
2285,65,1.0
230,1580,0.9
2309,73,0.766666666667
2313,57,0.6
2315,70,0.9
232,1558,1.0
233,1509,1.0
2334,72,0.9
234,2959,1.0
2342,67,0.9
2343,64,1.0
2344,59,1.0
235,1581,1.0
2358,80,0.9
2368,161,0.8
2369,152,0.8
2370,81,0.9
2371,88,0.9
2372,166,1.0
238,1506,1.0
2388,159,0.9
2393,157,1.0
2394,165,0.8
2396,162,1.0
2397,77,1.0
2399,158,0.9
2400,8,1.0
2407,28,1.0
241,1586,1.0
2410,30,0.9
243,1624,1.0
245,1585,0.9
246,1622,1.0
248,1517,1.0
25,421,1.0
2501,7,1.0
2502,6,0.6
2504,3,1.0
251,2427,1.0
252,1591,1.0
2537,13,0.7
254,2435,1.0
259,2524,1.0
260,2422,1.0
2617,2,0.9
2618,29,0.9
2618,423,1.0
2619,4,0.7
262,2345,1.0
263,2357,0.8
264,2436,1.0
2644,2133,1.0
265,2324,1.0
2651,5,0.9
266,2433,1.0
267,2448,0.9
268,2426,1.0
2686,17,0.9
27,875,1.0
270,2443,1.0
2703,14,1.0
2704,17,0.9
272,2322,1.0
273,1983,0.9
2738,21,1.0
275,1910,1.0
276,2466,1.0
278,2329,1.0
2788,16,0.9
2790,20,0.9
2792,10,0.933333333333
281,2474,1.0
2819,27,1.0
2821,9,1.0
2851,12,1.0
286,2575,1.0
2875,23,0.9
2877,11,1.0
2878,24,1.0
29,902,1.0
2905,26,0.9
2907,15,1.0
293,2565,1.0
294,2554,1.0
295,2569,1.0
296,2529,1.0
297,2511,1.0
298,2495,1.0
299,2522,1.0
300,2548,1.0
301,2574,0.766666666667
302,2587,1.0
303,2504,0.9
304,2571,1.0
307,2486,1.0
309,1377,1.0
311,2536,1.0
314,2552,1.0
32,895,1.0
321,1949,0.9
323,1975,1.0
326,1934,1.0
329,1963,1.0
33,878,1.0
330,1933,1.0
332,1909,1.0
334,1974,1.0
335,1988,1.0
336,1382,1.0
338,1932,1.0
339,1971,0.8
340,2807,1.0
341,2872,1.0
344,2855,0.9
345,2075,1.0
346,2816,1.0
349,2813,1.0
35,903,1.0
351,2858,1.0
353,2852,1.0
356,2810,1.0
359,2853,1.0
361,2828,1.0
362,2777,1.0
369,2406,1.0
37,870,1.0
371,2416,1.0
374,2398,1.0
377,2412,1.0
378,2387,1.0
379,2403,0.9
38,924,1.0
380,2414,1.0
382,2419,1.0
383,2790,1.0
386,2420,1.0
387,2291,1.0
389,2521,1.0
39,914,1.0
390,1379,1.0
392,2410,1.0
395,2423,1.0
396,1892,1.0
398,1754,1.0
40,896,1.0
402,1838,1.0
406,1869,0.7
409,2390,1.0
41,937,1.0
410,1770,1.0
412,1880,1.0
413,1879,0.8
414,1881,1.0
415,1867,0.8
416,1853,0.9
418,1875,1.0
419,1868,1.0
42,912,0.9
420,1861,1.0
423,1855,1.0
424,1820,1.0
426,1876,1.0
43,376,1.0
434,1980,1.0
435,2084,1.0
437,1993,1.0
