_id,Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing,Up_System
0,The Birth of a Nation,"Mar 3, 1915",G,3.2/5,192 minutes,D.W. Griffith,"Classics,Drama",,CM
1,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)","Mar 4, 1922",NR,4/5,63 minutes,F.W. Murnau,"Art House & International,Classics,Horror,Science Fiction & Fantasy",,CM
2,Sunrise: A Song of Two Humans,"Sep 23, 1927",NR,4.4/5,110 minutes,F.W. Murnau,"Classics,Drama,Mystery & Suspense,Romance",,CM
3,The Gold Rush,"Jun 26, 1925",G,4.2/5,85 minutes,Charles Chaplin,"Classics,Comedy",,CM
4,Wings,"Aug 12, 1927",PG-13,3.8/5,144 minutes,William Wellman,"Action & Adventure,Classics",,CM
5,The Passion of Joan of Arc (La Passion de Jeanne d'Arc),"Apr 21, 1928",NR,4.4/5,114 minutes,Carl Theodor Dreyer,"Art House & International,Classics,Drama",,CM
6,Phantom Of The Opera,"Nov 15, 1925",NR,3.8/5,79 minutes,"Lon Chaney Jr,Rupert Julian,Edward Sedgwick","Classics,Drama,Horror",,CM
7,Battleship Potemkin,"Dec 24, 1925",NR,4/5,65 minutes,Sergei M. Eisenstein,"Art House & International,Classics,Drama","$50,970",CM
8,City Lights,"Mar 7, 1931",G,4.4/5,90 minutes,Charles Chaplin,"Classics,Comedy,Drama,Romance",,CM
9,The Bride of Frankenstein,,,3.8/5,,,,,CM
10,M,"Aug 31, 1931",NR,4.4/5,105 minutes,Fritz Lang,"Art House & International,Drama,Mystery & Suspense","$17,599",CM
11,Bringing Up Baby,"Feb 18, 1938",NR,4/5,102 minutes,Howard Hawks,"Classics,Comedy,Romance",,CM
12,Modern Times,"Feb 25, 1936",G,4.3/5,87 minutes,Charles Chaplin,"Classics,Comedy",,CM
13,The General,"Feb 5, 1927",NR,4.3/5,79 minutes,"Buster Keaton,Clyde Bruckman","Comedy,Drama,Romance",,CM
14,Duck Soup,"Nov 17, 1933",NR,4.1/5,69 minutes,Leo McCarey,"Classics,Comedy",,CM
15,La Grande illusion (Grand Illusion),"Sep 12, 1938",NR,4.3/5,113 minutes,Jean Renoir,"Art House & International,Classics,Drama","$172,885",CM
16,Frankenstein,"Nov 21, 1931",NR,3.8/5,70 minutes,James Whale,"Classics,Horror,Science Fiction & Fantasy,Special Interest",,CM
17,King Kong,"Jan 1, 1933",G,3.7/5,103 minutes,"Ernest B. Schoedsack,Merian C. Cooper","Action & Adventure,Classics,Horror",,CM
18,The Wizard of Oz,"Aug 25, 1939",G,3.7/5,101 minutes,"King Vidor,Victor Fleming","Classics,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy","$3,840,702",CM
19,Gone With the Wind,"Dec 15, 1939",G,3.9/5,222 minutes,"Victor Fleming,George Cukor,Sam Wood","Classics,Drama,Romance",,CM
20,Dracula,"Jan 1, 1931",NR,3.7/5,75 minutes,Tod Browning,"Classics,Horror",,CM
21,It Happened One Night,"Feb 22, 1934",NR,4.2/5,105 minutes,Frank Capra,"Classics,Comedy,Romance",,CM
22,The Rules of the Game (La rgle du jeu),"Apr 8, 1950",NR,4.3/5,110 minutes,Jean Renoir,"Art House & International,Comedy,Drama",,CM
23,The Lady Vanishes,"Nov 1, 1938",PG,4/5,99 minutes,Alfred Hitchcock,"Classics,Mystery & Suspense",,CM
24,The Adventures of Robin Hood,"May 14, 1938",PG,3.7/5,102 minutes,"Michael Curtiz,William Keighley","Action & Adventure,Classics,Romance",,CM
25,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),"Feb 26, 1920",NR,4.1/5,52 minutes,Robert Wiene,"Art House & International,Classics,Cult Movies,Horror,Mystery & Suspense",,CM
26,Snow White and the Seven Dwarfs,"Dec 21, 1937",G,3.4/5,83 minutes,"David Hand,William Cottrell,David D. Hand,Wilfred Jackson,Larry Morey,Perce Pearce,Ben Sharpsteen,Dick Richard,Webb Smith,Dorothy Ann Blank,Merrill de Maris,Walt Disney,Richard Creedon","Animation,Classics,Kids & Family,Science Fiction & Fantasy",,CM
27,The 39 Steps,"Aug 1, 1935",NR,3.9/5,87 minutes,Alfred Hitchcock,"Action & Adventure,Classics,Mystery & Suspense",,CM
28,Freaks,"Feb 20, 1932",NR,4/5,64 minutes,Tod Browning,"Classics,Drama,Horror,Mystery & Suspense",,CM
29,Metropolis,"Mar 13, 1927",PG-13,4.1/5,115 minutes,Fritz Lang,"Action & Adventure,Art House & International,Classics,Drama,Science Fiction & Fantasy","$529,603",CM
30,All Quiet on the Western Front,"Aug 24, 1930",PG,3.9/5,134 minutes,Lewis Milestone,"Classics,Drama",,CM
31,Fantasia,"Nov 13, 1940",G,3.6/5,116 minutes,"James Algar,Samuel Armstrong,Ford Beebe,Walt Disney,Norman Ferguson,Jim Handley,Wilfred Jackson,Hamilton Luske,Bill Roberts,Paul Satterfield,Sylvia Moberly-Holland,T. Hee,Graham Heid,Norman Wright,Albert Heath,Ben Sharpsteen,Bianca Majolie","Animation,Classics,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy",,CM
32,His Girl Friday,"Jan 18, 1940",PG,4/5,92 minutes,Howard Hawks,"Classics,Comedy,Drama",,CM
