correct_label,,ltable.Certificate,ltable.Director,ltable.Genre,ltable.Grossing,ltable.Name,ltable.Rating,ltable.ReleaseDate,ltable.Runtime,ltable.Up_System,ltable._id,rtable.Certificate,rtable.Director,rtable.Genre,rtable.Grossing,rtable.Name,rtable.Rating,rtable.ReleaseDate,rtable.Runtime,rtable.Up_System,rtable._id
0,0,Passed,Michael Curtiz,"Crime, Mystery",,The Kennel Murder Case,7,28 October 1933 (USA),73 min,CM,2406,,,,,The House of Mirth,3.5/5,,,CM,698
0,1,R,Joe Dante,Horror,"$17,986,000 ",The Howling,6.6,10 April 1981 (USA),91 min,CM,1308,,,,,On the Basis of Sex,3.6/5,,,CM,2140
0,2,PG,Steven Spielberg,"Crime, Drama","$7,500,000 ",The Sugarland Express,6.8,29 May 1974 (Sweden),110 min,CM,1129,,,,,Chavez: Inside the Coup,4.2/5,,,CM,2665
0,3,Not Rated,"Lotte Reiniger, Carl Koch","Animation, Adventure, Fantasy",,The Adventures of Prince Achmed,7.8,1928 (Italy),66 min,CM,2531,,,,,The Wind,5-Mar,,,CM,2133
0,4,R,Martin Scorsese,"Drama, Sport","$52,293,982 ",The Color of Money,7,17 October 1986 (USA),119 min,CM,1483,,,,,The Hummingbird Project,3.5/5,,,CM,2107
1,5,R,"Lana Wachowski, Lilly Wachowski","Action, Sci-Fi",,The Matrix Reloaded,7.2,15 May 2003 (USA),138 min,CM,129,R,"Lana Wachowski,Lilly Wachowski","Mystery & Suspense,Science Fiction & Fantasy","$281,500,000 ",The Matrix Reloaded,3.4/5,7-May-03,138 minutes,CM,2580
0,6,Approved,"James Algar, Clyde Geronimi, 1 more credit","Animation, Comedy, Family",,The Adventures of Ichabod and Mr. Toad,7.1,6 January 1950 (USA),68 min,CM,2161,,,,,The Brink,4.8/5,,,CM,2151
1,7,PG-13,Paul Greengrass,"Action, Mystery, Thriller",,The Bourne Ultimatum,8,3 August 2007 (USA),115 min,CM,196,PG-13,Paul Greengrass,"Action & Adventure,Drama,Mystery & Suspense","$227,400,000 ",The Bourne Ultimatum,4.1/5,3-Aug-07,115 minutes,CM,2771
0,8,Not Rated,Alexander Mackendrick,"Comedy, Crime",,The Ladykillers,7.8,24 February 1956 (Belgium),91 min,CM,2392,,,,,The Endurance,3.8/5,,,CM,953
0,9,Not Rated,Mikhail Kalatozov,"Drama, Romance, War",,The Cranes Are Flying,8.3,21 March 1960 (USA),95 min,CM,1561,,,,,The Best of Enemies,5-Apr,,,CM,2102
0,10,Not Rated,Yasujir Ozu,Drama,,The Only Son,7.8,1 April 1987 (USA),87 min,CM,2829,,,,,The Mustang,3.9/5,,,CM,2158
0,11,Not Rated,"Lewis Milestone, Carol Reed","Adventure, Drama, History","$13,680,000 ",Mutiny on the Bounty,7.3,8 November 1962 (USA),178 min,CM,1696,,,,,Elevator to the Gallows (Ascenseur pour l'chafaud),4.2/5,,,CM,156
0,12,Approved,Lloyd Bacon,"Comedy, Crime",,A Slight Case of Murder,7.1,5 March 1938 (USA),85 min,CM,2853,,,,,On the Basis of Sex,3.6/5,,,CM,2140
0,13,Not Rated,Joseph L. Mankiewicz,Drama,,All About Eve,8.3,27 October 1950 (USA),138 min,CM,2309,NR,Steven Soderbergh,Drama,,High Flying Bird,3.2/5,,90 minutes,CM,2163
0,14,Not Rated,"Jean Cocteau, Ren Clment","Drama, Fantasy, Romance","$298,718 ",Beauty and the Beast,8,23 December 1947 (USA),96 min,CM,2129,,,,,The Best of Enemies,5-Apr,,,CM,2102
0,15,R,Jane Campion,"Drama, Music, Romance","$40,158,000 ",The Piano,7.6,11 February 1994 (USA),121 min,CM,798,,,,,The Death of Mr. Lazarescu,3.8/5,,,CM,1563
0,16,R,Sergio Leone,Western,"$6,100,000 ","The Good, the Bad and the Ugly",8.9,29 December 1967 (USA),161 min,CM,1508,,,,,Girl on the Bridge (La Fille sur le Pont),4.1/5,,,CM,814
0,17,Not Rated,Harold Young,"Adventure, Drama",,The Scarlet Pimpernel,7.5,7 February 1935 (USA),97 min,CM,2721,,,,,The Last Seduction,3.6/5,,,CM,1204
0,18,TV-PG,William Worthington,"Drama, Romance",,The Dragon Painter,6.2,28 September 1919 (USA),50 min,CM,2926,,,,,The Dangerous Lives of Altar Boys,3.6/5,,,CM,388
0,19,PG,Robert Zemeckis,"Action, Adventure, Comedy","$76,572,238 ",Romancing the Stone,6.9,30 March 1984 (USA),106 min,CM,1422,,,,,The Abyss,3.5/5,,,CM,1273
0,20,R,Hal Ashby,"Comedy, Drama",,The Last Detail,7.6,15 February 1974 (USA),104 min,CM,1040,,,,,The Mustang,3.9/5,,,CM,2158
0,21,Passed,Fred Niblo,"Drama, Romance","$543,000 ",The Mysterious Lady,7.3,4 August 1928 (USA),96 min,CM,2625,,,,,The Prodigy,5-Mar,,,CM,2095
0,22,Not Rated,Alfred Hitchcock,"Crime, Drama, Mystery",,The Lodger: A Story of the London Fog,7.3,14 February 1927 (UK),74 min,CM,2621,,,,,The Abyss,3.5/5,,,CM,1273
0,23,Approved,Sidney Lanfield,"Horror, Mystery, Thriller",,The Hound of the Baskervilles,7.6,31 March 1939 (USA),80 min,CM,2008,,,,,The Endurance,3.8/5,,,CM,953
0,24,Not Rated,F.W. Murnau,"Drama, Romance, Adventure",,Tabu: A Story of the South Seas,7.6,1 August 1931 (USA),86 min,CM,2785,,,,,The Endurance,3.8/5,,,CM,953
0,25,PG,John Guillermin,"Crime, Drama, Mystery",,Death on the Nile,7.3,29 September 1978 (USA),140 min,CM,1338,,,,,The Image Book (Le livre d'image),2.9/5,,,CM,2159
0,26,R,Wolfgang Petersen,"Drama, History",,Troy,7.2,14 May 2004 (USA),163 min,CM,151,R,Lee Tamahori,Drama,,Once Were Warriors,4.1/5,,99 minutes,CM,1212
